Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0000934.4, Number of genes: 23
Cluster: BGC0000972.5, Number of genes: 23
Cluster: BGC0001025.5, Number of genes: 23
Cluster: BGC0001031.5, Number of genes: 23
Cluster: BGC0001032.3, Number of genes: 23
Cluster: BGC0001056.5, Number of genes: 23
Cluster: BGC0001078.5, Number of genes: 23
Cluster: BGC0001228.5, Number of genes: 23
Cluster: BGC0001292.5, Number of genes: 23
Cluster: BGC0001302.5, Number of genes: 23
Cluster: BGC0001387.5, Number of genes: 23
Cluster: BGC0001471.5, Number of genes: 23
Cluster: BGC0001523.5, Number of genes: 23
Cluster: BGC0001595.3, Number of genes: 23
Cluster: BGC0001707.5, Number of genes: 23
Cluster: BGC0001830.3, Number of genes: 23
Cluster: BGC0001846.4, Number of genes: 23
Cluster: BGC0001882.3, Number of genes: 23
Cluster: BGC0002019.3, Number of genes: 23
Cluster: BGC0002070.3, Number of genes: 23
Cluster: BGC0002090.3, Number of genes: 23
Cluster: BGC0002104.3, Number of genes: 23
Cluster: BGC0002302.2, Number of genes: 23
Cluster: BGC0002359.3, Number of genes: 23
Cluster: BGC0002378.3, Number of genes: 23
Cluster: BGC0002443.3, Number of genes: 23
Cluster: BGC0002506.3, Number of genes: 23
Cluster: BGC0002712.2, Number of genes: 23
Cluster: BGC0002948.1, Number of genes: 23
Cluster: BGC0000010.3, Number of genes: 22
Cluster: BGC0000091.5, Number of genes: 22
Cluster: BGC0000115.5, Number of genes: 22
Cluster: BGC0000168.5, Number of genes: 22
Cluster: BGC0000172.5, Number of genes: 22
Cluster: BGC0000194.5, Number of genes: 22
Cluster: BGC0000225.5, Number of genes: 22
Cluster: BGC0000327.5, Number of genes: 22
Cluster: BGC0000431.5, Number of genes: 22
Cluster: BGC0000666.5, Number of genes: 22
Cluster: BGC0000690.5, Number of genes: 22
Cluster: BGC0000716.5, Number of genes: 22
Cluster: BGC0000723.5, Number of genes: 22
Cluster: BGC0000760.5, Number of genes: 22
Cluster: BGC0000846.5, Number of genes: 22
Cluster: BGC0000864.3, Number of genes: 22
Cluster: BGC0000896.5, Number of genes: 22
Cluster: BGC0000951.5, Number of genes: 22
Cluster: BGC0000971.5, Number of genes: 22
Cluster: BGC0000988.5, Number of genes: 22
Cluster: BGC0000994.5, Number of genes: 22
Cluster: BGC0001003.5, Number of genes: 22
Cluster: BGC0001063.5, Number of genes: 22
Cluster: BGC0001106.6, Number of genes: 22
Cluster: BGC0001123.5, Number of genes: 22
Cluster: BGC0001142.4, Number of genes: 22
Cluster: BGC0001194.5, Number of genes: 22
Cluster: BGC0001277.4, Number of genes: 22
Cluster: BGC0001339.5, Number of genes: 22
Cluster: BGC0001474.4, Number of genes: 22
Cluster: BGC0001589.3, Number of genes: 22
Cluster: BGC0001625.5, Number of genes: 22
Cluster: BGC0001648.5, Number of genes: 22
Cluster: BGC0001661.5, Number of genes: 22
Cluster: BGC0001690.5, Number of genes: 22
Cluster: BGC0001703.3, Number of genes: 22
Cluster: BGC0001750.4, Number of genes: 22
Cluster: BGC0001776.3, Number of genes: 22
Cluster: BGC0001796.5, Number of genes: 22
Cluster: BGC0001927.4, Number of genes: 22
Cluster: BGC0002042.3, Number of genes: 22
Cluster: BGC0002096.3, Number of genes: 22
Cluster: BGC0002106.3, Number of genes: 22
Cluster: BGC0002339.3, Number of genes: 22
Cluster: BGC0002369.2, Number of genes: 22
Cluster: BGC0002504.2, Number of genes: 22
Cluster: BGC0002673.2, Number of genes: 22
Cluster: BGC0002702.3, Number of genes: 22
Cluster: BGC0002722.2, Number of genes: 22
Cluster: BGC0002814.2, Number of genes: 22
Cluster: BGC0002850.1, Number of genes: 22
Cluster: BGC0002863.1, Number of genes: 22
Cluster: BGC0002867.1, Number of genes: 22
Cluster: BGC0002868.1, Number of genes: 22
Cluster: BGC0002906.1, Number of genes: 22
Cluster: BGC0002958.1, Number of genes: 22
Cluster: BGC0000034.5, Number of genes: 21
Cluster: BGC0000060.5, Number of genes: 21
Cluster: BGC0000069.5, Number of genes: 21
Cluster: BGC0000070.5, Number of genes: 21
Cluster: BGC0000080.5, Number of genes: 21
Cluster: BGC0000102.5, Number of genes: 21
Cluster: BGC0000145.5, Number of genes: 21
Cluster: BGC0000158.5, Number of genes: 21
Cluster: BGC0000208.5, Number of genes: 21
Cluster: BGC0000337.4, Number of genes: 21
Cluster: BGC0000503.5, Number of genes: 21
Cluster: BGC0000603.5, Number of genes: 21
Cluster: BGC0000612.4, Number of genes: 21
Cluster: BGC0000614.5, Number of genes: 21
Cluster: BGC0000711.5, Number of genes: 21
Cluster: BGC0000762.3, Number of genes: 21
Cluster: BGC0000782.3, Number of genes: 21
Cluster: BGC0000796.3, Number of genes: 21
Cluster: BGC0000799.5, Number of genes: 21
Cluster: BGC0000914.5, Number of genes: 21
Cluster: BGC0000956.5, Number of genes: 21
Cluster: BGC0000961.5, Number of genes: 21
Cluster: BGC0000974.5, Number of genes: 21
Cluster: BGC0000993.4, Number of genes: 21
Cluster: BGC0001093.3, Number of genes: 21
Cluster: BGC0001147.4, Number of genes: 21
Cluster: BGC0001148.5, Number of genes: 21
Cluster: BGC0001200.4, Number of genes: 21
Cluster: BGC0001398.2, Number of genes: 21
Cluster: BGC0001473.4, Number of genes: 21
Cluster: BGC0001483.4, Number of genes: 21
Cluster: BGC0001521.3, Number of genes: 21
Cluster: BGC0001620.5, Number of genes: 21
Cluster: BGC0001622.5, Number of genes: 21
Cluster: BGC0001644.4, Number of genes: 21
Cluster: BGC0001657.4, Number of genes: 21
Cluster: BGC0001704.3, Number of genes: 21
Cluster: BGC0001792.5, Number of genes: 21
Cluster: BGC0001797.3, Number of genes: 21
Cluster: BGC0001875.4, Number of genes: 21
Cluster: BGC0001968.3, Number of genes: 21
Cluster: BGC0002046.3, Number of genes: 21
Cluster: BGC0002101.3, Number of genes: 21
Cluster: BGC0002153.2, Number of genes: 21
Cluster: BGC0002360.3, Number of genes: 21
Cluster: BGC0002385.3, Number of genes: 21
Cluster: BGC0002438.2, Number of genes: 21
Cluster: BGC0002454.2, Number of genes: 21
Cluster: BGC0002470.2, Number of genes: 21
Cluster: BGC0002477.3, Number of genes: 21
Cluster: BGC0002597.2, Number of genes: 21
Cluster: BGC0003156.1, Number of genes: 21
Cluster: BGC0000048.3, Number of genes: 20
Cluster: BGC0000128.3, Number of genes: 20
Cluster: BGC0000153.5, Number of genes: 20
Cluster: BGC0000167.5, Number of genes: 20
Cluster: BGC0000178.5, Number of genes: 20
Cluster: BGC0000220.4, Number of genes: 20
Cluster: BGC0000235.5, Number of genes: 20
Cluster: BGC0000254.5, Number of genes: 20
Cluster: BGC0000334.4, Number of genes: 20
Cluster: BGC0000529.5, Number of genes: 20
Cluster: BGC0000561.5, Number of genes: 20
Cluster: BGC0000785.3, Number of genes: 20
Cluster: BGC0000834.5, Number of genes: 20
Cluster: BGC0000837.4, Number of genes: 20
Cluster: BGC0000984.4, Number of genes: 20
Cluster: BGC0000995.5, Number of genes: 20
Cluster: BGC0001066.5, Number of genes: 20
Cluster: BGC0001088.5, Number of genes: 20
Cluster: BGC0001114.5, Number of genes: 20
Cluster: BGC0001150.5, Number of genes: 20
Cluster: BGC0001190.3, Number of genes: 20
Cluster: BGC0001311.5, Number of genes: 20
Cluster: BGC0001330.5, Number of genes: 20
Cluster: BGC0001340.3, Number of genes: 20
Cluster: BGC0001358.4, Number of genes: 20
Cluster: BGC0001512.5, Number of genes: 20
Cluster: BGC0001588.3, Number of genes: 20
Cluster: BGC0001670.5, Number of genes: 20
Cluster: BGC0001724.4, Number of genes: 20
Cluster: BGC0001755.5, Number of genes: 20
Cluster: BGC0001763.5, Number of genes: 20
Cluster: BGC0001765.3, Number of genes: 20
Cluster: BGC0001850.4, Number of genes: 20
Cluster: BGC0001895.4, Number of genes: 20
Cluster: BGC0001919.4, Number of genes: 20
Cluster: BGC0001940.3, Number of genes: 20
Cluster: BGC0001985.4, Number of genes: 20
Cluster: BGC0002055.3, Number of genes: 20
Cluster: BGC0002080.3, Number of genes: 20
Cluster: BGC0002082.3, Number of genes: 20
Cluster: BGC0002246.3, Number of genes: 20
Cluster: BGC0002300.2, Number of genes: 20
Cluster: BGC0002308.2, Number of genes: 20
Cluster: BGC0002343.3, Number of genes: 20
Cluster: BGC0002366.2, Number of genes: 20
Cluster: BGC0002386.2, Number of genes: 20
Cluster: BGC0002406.2, Number of genes: 20
Cluster: BGC0002417.3, Number of genes: 20
Cluster: BGC0002439.3, Number of genes: 20
Cluster: BGC0002466.3, Number of genes: 20
Cluster: BGC0002532.3, Number of genes: 20
Cluster: BGC0002536.3, Number of genes: 20
Cluster: BGC0002540.3, Number of genes: 20
Cluster: BGC0002634.2, Number of genes: 20
Cluster: BGC0002726.2, Number of genes: 20
Cluster: BGC0002735.2, Number of genes: 20
Cluster: BGC0002983.1, Number of genes: 20
Cluster: BGC0003155.1, Number of genes: 20
Cluster: BGC0000092.5, Number of genes: 19
Cluster: BGC0000186.5, Number of genes: 19
Cluster: BGC0000319.5, Number of genes: 19
Cluster: BGC0000363.4, Number of genes: 19
Cluster: BGC0000364.4, Number of genes: 19
Cluster: BGC0000523.3, Number of genes: 19
Cluster: BGC0000627.4, Number of genes: 19
Cluster: BGC0000788.3, Number of genes: 19
Cluster: BGC0000836.5, Number of genes: 19
Cluster: BGC0000865.3, Number of genes: 19
Cluster: BGC0000932.5, Number of genes: 19
Cluster: BGC0000937.5, Number of genes: 19
Cluster: BGC0000997.4, Number of genes: 19
Cluster: BGC0001010.5, Number of genes: 19
Cluster: BGC0001110.5, Number of genes: 19
Cluster: BGC0001195.3, Number of genes: 19
Cluster: BGC0001203.4, Number of genes: 19
Cluster: BGC0001215.5, Number of genes: 19
Cluster: BGC0001233.5, Number of genes: 19
Cluster: BGC0001299.5, Number of genes: 19
Cluster: BGC0001314.3, Number of genes: 19
Cluster: BGC0001329.4, Number of genes: 19
Cluster: BGC0001364.3, Number of genes: 19
Cluster: BGC0001575.4, Number of genes: 19
Cluster: BGC0001582.4, Number of genes: 19
Cluster: BGC0001709.5, Number of genes: 19
Cluster: BGC0001909.3, Number of genes: 19
Cluster: BGC0001947.2, Number of genes: 19
Cluster: BGC0001967.4, Number of genes: 19
Cluster: BGC0001988.3, Number of genes: 19
Cluster: BGC0002081.3, Number of genes: 19
Cluster: BGC0002086.3, Number of genes: 19
Cluster: BGC0002244.3, Number of genes: 19
Cluster: BGC0002273.2, Number of genes: 19
Cluster: BGC0002288.2, Number of genes: 19
Cluster: BGC0002333.3, Number of genes: 19
Cluster: BGC0002390.2, Number of genes: 19
Cluster: BGC0002689.2, Number of genes: 19
Cluster: BGC0002880.1, Number of genes: 19
Cluster: BGC0002928.1, Number of genes: 19
Cluster: BGC0003066.1, Number of genes: 19
Cluster: BGC0003096.1, Number of genes: 19
Cluster: BGC0003164.1, Number of genes: 19
Cluster: BGC0000028.5, Number of genes: 18
Cluster: BGC0000114.5, Number of genes: 18
Cluster: BGC0000117.5, Number of genes: 18
Cluster: BGC0000127.5, Number of genes: 18
Cluster: BGC0000175.5, Number of genes: 18
Cluster: BGC0000264.5, Number of genes: 18
Cluster: BGC0000294.5, Number of genes: 18
Cluster: BGC0000339.5, Number of genes: 18
Cluster: BGC0000366.5, Number of genes: 18
Cluster: BGC0000446.5, Number of genes: 18
Cluster: BGC0000450.5, Number of genes: 18
Cluster: BGC0000453.5, Number of genes: 18
Cluster: BGC0000604.4, Number of genes: 18
Cluster: BGC0000784.3, Number of genes: 18
Cluster: BGC0000818.5, Number of genes: 18
Cluster: BGC0000889.5, Number of genes: 18
Cluster: BGC0000970.5, Number of genes: 18
Cluster: BGC0001044.4, Number of genes: 18
Cluster: BGC0001080.5, Number of genes: 18
Cluster: BGC0001084.5, Number of genes: 18
Cluster: BGC0001116.5, Number of genes: 18
Cluster: BGC0001189.5, Number of genes: 18
Cluster: BGC0001202.4, Number of genes: 18
Cluster: BGC0001317.3, Number of genes: 18
Cluster: BGC0001335.5, Number of genes: 18
Cluster: BGC0001337.5, Number of genes: 18
Cluster: BGC0001343.3, Number of genes: 18
Cluster: BGC0001348.5, Number of genes: 18
Cluster: BGC0001395.5, Number of genes: 18
Cluster: BGC0001405.4, Number of genes: 18
Cluster: BGC0001442.5, Number of genes: 18
Cluster: BGC0001443.5, Number of genes: 18
Cluster: BGC0001480.3, Number of genes: 18
Cluster: BGC0001532.4, Number of genes: 18
Cluster: BGC0001563.3, Number of genes: 18
Cluster: BGC0001574.5, Number of genes: 18
Cluster: BGC0001623.4, Number of genes: 18
Cluster: BGC0001652.5, Number of genes: 18
Cluster: BGC0001654.5, Number of genes: 18
Cluster: BGC0001752.4, Number of genes: 18
Cluster: BGC0001753.3, Number of genes: 18
Cluster: BGC0001761.3, Number of genes: 18
Cluster: BGC0001772.3, Number of genes: 18
Cluster: BGC0001774.5, Number of genes: 18
Cluster: BGC0001902.3, Number of genes: 18
Cluster: BGC0001918.3, Number of genes: 18
Cluster: BGC0001925.4, Number of genes: 18
Cluster: BGC0001942.3, Number of genes: 18
Cluster: BGC0002008.3, Number of genes: 18
Cluster: BGC0002131.4, Number of genes: 18
Cluster: BGC0002254.3, Number of genes: 18
Cluster: BGC0002363.3, Number of genes: 18
Cluster: BGC0002436.2, Number of genes: 18
Cluster: BGC0002456.3, Number of genes: 18
Cluster: BGC0002544.3, Number of genes: 18
Cluster: BGC0002677.2, Number of genes: 18
Cluster: BGC0002697.3, Number of genes: 18
Cluster: BGC0002816.2, Number of genes: 18
Cluster: BGC0002944.1, Number of genes: 18
Cluster: BGC0003109.1, Number of genes: 18
Cluster: BGC0000063.3, Number of genes: 17
Cluster: BGC0000088.4, Number of genes: 17
Cluster: BGC0000125.5, Number of genes: 17
Cluster: BGC0000152.3, Number of genes: 17
Cluster: BGC0000258.3, Number of genes: 17
Cluster: BGC0000297.5, Number of genes: 17
Cluster: BGC0000330.5, Number of genes: 17
Cluster: BGC0000340.5, Number of genes: 17
Cluster: BGC0000352.5, Number of genes: 17
Cluster: BGC0000399.5, Number of genes: 17
Cluster: BGC0000415.5, Number of genes: 17
Cluster: BGC0000437.5, Number of genes: 17
Cluster: BGC0000448.5, Number of genes: 17
Cluster: BGC0000502.5, Number of genes: 17
Cluster: BGC0000653.5, Number of genes: 17
Cluster: BGC0000715.5, Number of genes: 17
Cluster: BGC0000732.3, Number of genes: 17
Cluster: BGC0000733.3, Number of genes: 17
Cluster: BGC0000764.3, Number of genes: 17
Cluster: BGC0000792.3, Number of genes: 17
Cluster: BGC0000810.3, Number of genes: 17
Cluster: BGC0000826.5, Number of genes: 17
Cluster: BGC0000827.3, Number of genes: 17
Cluster: BGC0000882.5, Number of genes: 17
Cluster: BGC0000893.5, Number of genes: 17
Cluster: BGC0000897.5, Number of genes: 17
Cluster: BGC0000905.5, Number of genes: 17
Cluster: BGC0000916.5, Number of genes: 17
Cluster: BGC0000982.5, Number of genes: 17
Cluster: BGC0000986.5, Number of genes: 17
Cluster: BGC0001017.5, Number of genes: 17
Cluster: BGC0001155.5, Number of genes: 17
Cluster: BGC0001241.4, Number of genes: 17
Cluster: BGC0001293.5, Number of genes: 17
Cluster: BGC0001344.4, Number of genes: 17
Cluster: BGC0001367.5, Number of genes: 17
Cluster: BGC0001392.5, Number of genes: 17
Cluster: BGC0001592.5, Number of genes: 17
Cluster: BGC0001617.3, Number of genes: 17
Cluster: BGC0001695.5, Number of genes: 17
Cluster: BGC0001711.4, Number of genes: 17
Cluster: BGC0001712.3, Number of genes: 17
Cluster: BGC0001715.4, Number of genes: 17
Cluster: BGC0001716.4, Number of genes: 17
Cluster: BGC0001749.3, Number of genes: 17
Cluster: BGC0001771.4, Number of genes: 17
Cluster: BGC0001778.5, Number of genes: 17
Cluster: BGC0001790.4, Number of genes: 17
Cluster: BGC0001867.2, Number of genes: 17
Cluster: BGC0002007.2, Number of genes: 17
Cluster: BGC0002091.3, Number of genes: 17
Cluster: BGC0002235.2, Number of genes: 17
Cluster: BGC0002303.3, Number of genes: 17
Cluster: BGC0002393.2, Number of genes: 17
Cluster: BGC0002420.3, Number of genes: 17
Cluster: BGC0002547.2, Number of genes: 17
Cluster: BGC0002718.2, Number of genes: 17
Cluster: BGC0002746.3, Number of genes: 17
Cluster: BGC0002912.1, Number of genes: 17
Cluster: BGC0002957.1, Number of genes: 17
Cluster: BGC0002964.1, Number of genes: 17
Cluster: BGC0003049.1, Number of genes: 17
Cluster: BGC0003107.1, Number of genes: 17
Cluster: BGC0000062.4, Number of genes: 16
Cluster: BGC0000121.3, Number of genes: 16
Cluster: BGC0000179.5, Number of genes: 16
Cluster: BGC0000259.3, Number of genes: 16
Cluster: BGC0000300.5, Number of genes: 16
Cluster: BGC0000326.5, Number of genes: 16
Cluster: BGC0000336.5, Number of genes: 16
Cluster: BGC0000404.4, Number of genes: 16
Cluster: BGC0000405.5, Number of genes: 16
Cluster: BGC0000452.5, Number of genes: 16
Cluster: BGC0000460.5, Number of genes: 16
Cluster: BGC0000511.5, Number of genes: 16
Cluster: BGC0000565.5, Number of genes: 16
Cluster: BGC0000586.5, Number of genes: 16
Cluster: BGC0000694.3, Number of genes: 16
Cluster: BGC0000728.5, Number of genes: 16
Cluster: BGC0000729.3, Number of genes: 16
Cluster: BGC0000773.3, Number of genes: 16
Cluster: BGC0000803.3, Number of genes: 16
Cluster: BGC0000821.5, Number of genes: 16
Cluster: BGC0000843.5, Number of genes: 16
Cluster: BGC0000906.3, Number of genes: 16
Cluster: BGC0000992.4, Number of genes: 16
Cluster: BGC0001045.5, Number of genes: 16
Cluster: BGC0001091.5, Number of genes: 16
Cluster: BGC0001108.5, Number of genes: 16
Cluster: BGC0001122.4, Number of genes: 16
Cluster: BGC0001205.3, Number of genes: 16
Cluster: BGC0001216.5, Number of genes: 16
Cluster: BGC0001285.5, Number of genes: 16
Cluster: BGC0001312.5, Number of genes: 16
Cluster: BGC0001318.4, Number of genes: 16
Cluster: BGC0001331.5, Number of genes: 16
Cluster: BGC0001338.4, Number of genes: 16
Cluster: BGC0001342.3, Number of genes: 16
Cluster: BGC0001366.5, Number of genes: 16
Cluster: BGC0001380.3, Number of genes: 16
Cluster: BGC0001455.6, Number of genes: 16
Cluster: BGC0001541.3, Number of genes: 16
Cluster: BGC0001566.3, Number of genes: 16
Cluster: BGC0001586.3, Number of genes: 16
Cluster: BGC0001653.3, Number of genes: 16
Cluster: BGC0001729.3, Number of genes: 16
Cluster: BGC0001813.4, Number of genes: 16
Cluster: BGC0001816.4, Number of genes: 16
Cluster: BGC0001819.3, Number of genes: 16
Cluster: BGC0001835.2, Number of genes: 16
Cluster: BGC0001836.3, Number of genes: 16
Cluster: BGC0001865.4, Number of genes: 16
Cluster: BGC0001884.3, Number of genes: 16
Cluster: BGC0001886.2, Number of genes: 16
Cluster: BGC0001897.4, Number of genes: 16
Cluster: BGC0001996.2, Number of genes: 16
Cluster: BGC0002059.3, Number of genes: 16
Cluster: BGC0002114.3, Number of genes: 16
Cluster: BGC0002147.2, Number of genes: 16
Cluster: BGC0002262.2, Number of genes: 16
Cluster: BGC0002267.2, Number of genes: 16
Cluster: BGC0002293.2, Number of genes: 16
Cluster: BGC0002372.3, Number of genes: 16
Cluster: BGC0002392.2, Number of genes: 16
Cluster: BGC0002409.3, Number of genes: 16
Cluster: BGC0002419.3, Number of genes: 16
Cluster: BGC0002446.3, Number of genes: 16
Cluster: BGC0002450.2, Number of genes: 16
Cluster: BGC0002500.2, Number of genes: 16
Cluster: BGC0002502.3, Number of genes: 16
Cluster: BGC0002533.2, Number of genes: 16
Cluster: BGC0002553.2, Number of genes: 16
Cluster: BGC0002561.3, Number of genes: 16
Cluster: BGC0002654.2, Number of genes: 16
Cluster: BGC0002661.2, Number of genes: 16
Cluster: BGC0002789.2, Number of genes: 16
Cluster: BGC0002872.1, Number of genes: 16
Cluster: BGC0003048.1, Number of genes: 16
Cluster: BGC0000017.5, Number of genes: 15
Cluster: BGC0000120.5, Number of genes: 15
Cluster: BGC0000176.5, Number of genes: 15
Cluster: BGC0000192.3, Number of genes: 15
Cluster: BGC0000237.5, Number of genes: 15
Cluster: BGC0000286.3, Number of genes: 15
Cluster: BGC0000312.4, Number of genes: 15
Cluster: BGC0000321.4, Number of genes: 15
Cluster: BGC0000487.5, Number of genes: 15
Cluster: BGC0000498.5, Number of genes: 15
Cluster: BGC0000544.4, Number of genes: 15
Cluster: BGC0000587.5, Number of genes: 15
Cluster: BGC0000625.5, Number of genes: 15
Cluster: BGC0000665.5, Number of genes: 15
Cluster: BGC0000730.3, Number of genes: 15
Cluster: BGC0000731.3, Number of genes: 15
Cluster: BGC0000735.3, Number of genes: 15
Cluster: BGC0000758.4, Number of genes: 15
Cluster: BGC0000765.3, Number of genes: 15
Cluster: BGC0000770.4, Number of genes: 15
Cluster: BGC0000794.5, Number of genes: 15
Cluster: BGC0000819.5, Number of genes: 15
Cluster: BGC0000825.5, Number of genes: 15
Cluster: BGC0000921.5, Number of genes: 15
Cluster: BGC0000925.5, Number of genes: 15
Cluster: BGC0000958.5, Number of genes: 15
Cluster: BGC0000976.5, Number of genes: 15
Cluster: BGC0001052.5, Number of genes: 15
Cluster: BGC0001067.5, Number of genes: 15
Cluster: BGC0001095.5, Number of genes: 15
Cluster: BGC0001100.5, Number of genes: 15
Cluster: BGC0001113.5, Number of genes: 15
Cluster: BGC0001127.5, Number of genes: 15
Cluster: BGC0001143.4, Number of genes: 15
Cluster: BGC0001220.4, Number of genes: 15
Cluster: BGC0001300.5, Number of genes: 15
Cluster: BGC0001322.3, Number of genes: 15
Cluster: BGC0001328.5, Number of genes: 15
Cluster: BGC0001332.5, Number of genes: 15
Cluster: BGC0001393.5, Number of genes: 15
Cluster: BGC0001410.3, Number of genes: 15
Cluster: BGC0001470.5, Number of genes: 15
Cluster: BGC0001515.4, Number of genes: 15
Cluster: BGC0001537.5, Number of genes: 15
Cluster: BGC0001610.5, Number of genes: 15
Cluster: BGC0001671.3, Number of genes: 15
Cluster: BGC0001692.5, Number of genes: 15
Cluster: BGC0001701.4, Number of genes: 15
Cluster: BGC0001721.3, Number of genes: 15
Cluster: BGC0001801.5, Number of genes: 15
Cluster: BGC0001885.3, Number of genes: 15
Cluster: BGC0001913.3, Number of genes: 15
Cluster: BGC0001917.4, Number of genes: 15
Cluster: BGC0001999.3, Number of genes: 15
Cluster: BGC0002000.4, Number of genes: 15
Cluster: BGC0002026.3, Number of genes: 15
Cluster: BGC0002032.4, Number of genes: 15
Cluster: BGC0002123.3, Number of genes: 15
Cluster: BGC0002284.3, Number of genes: 15
Cluster: BGC0002329.2, Number of genes: 15
Cluster: BGC0002364.2, Number of genes: 15
Cluster: BGC0002408.3, Number of genes: 15
Cluster: BGC0002421.2, Number of genes: 15
Cluster: BGC0002468.2, Number of genes: 15
Cluster: BGC0002483.2, Number of genes: 15
Cluster: BGC0002514.3, Number of genes: 15
Cluster: BGC0002543.3, Number of genes: 15
Cluster: BGC0002569.3, Number of genes: 15
Cluster: BGC0002591.2, Number of genes: 15
Cluster: BGC0002663.2, Number of genes: 15
Cluster: BGC0002759.2, Number of genes: 15
Cluster: BGC0002768.2, Number of genes: 15
Cluster: BGC0002808.2, Number of genes: 15
Cluster: BGC0003075.1, Number of genes: 15
Cluster: BGC0003078.1, Number of genes: 15
Cluster: BGC0003104.1, Number of genes: 15
Cluster: BGC0000023.5, Number of genes: 14
Cluster: BGC0000111.5, Number of genes: 14
Cluster: BGC0000154.4, Number of genes: 14
Cluster: BGC0000157.5, Number of genes: 14
Cluster: BGC0000173.5, Number of genes: 14
Cluster: BGC0000214.5, Number of genes: 14
Cluster: BGC0000252.5, Number of genes: 14
Cluster: BGC0000261.5, Number of genes: 14
Cluster: BGC0000298.5, Number of genes: 14
Cluster: BGC0000320.5, Number of genes: 14
Cluster: BGC0000345.5, Number of genes: 14
Cluster: BGC0000347.5, Number of genes: 14
Cluster: BGC0000381.5, Number of genes: 14
Cluster: BGC0000382.5, Number of genes: 14
Cluster: BGC0000386.5, Number of genes: 14
Cluster: BGC0000392.5, Number of genes: 14
Cluster: BGC0000395.5, Number of genes: 14
Cluster: BGC0000472.4, Number of genes: 14
Cluster: BGC0000526.5, Number of genes: 14
Cluster: BGC0000545.5, Number of genes: 14
Cluster: BGC0000595.3, Number of genes: 14
Cluster: BGC0000628.4, Number of genes: 14
Cluster: BGC0000636.3, Number of genes: 14
Cluster: BGC0000763.5, Number of genes: 14
Cluster: BGC0000781.3, Number of genes: 14
Cluster: BGC0000813.3, Number of genes: 14
Cluster: BGC0000840.5, Number of genes: 14
Cluster: BGC0000880.4, Number of genes: 14
Cluster: BGC0000885.3, Number of genes: 14
Cluster: BGC0000926.5, Number of genes: 14
Cluster: BGC0000978.5, Number of genes: 14
Cluster: BGC0001005.5, Number of genes: 14
Cluster: BGC0001033.5, Number of genes: 14
Cluster: BGC0001054.5, Number of genes: 14
Cluster: BGC0001089.5, Number of genes: 14
Cluster: BGC0001102.5, Number of genes: 14
Cluster: BGC0001130.5, Number of genes: 14
Cluster: BGC0001151.5, Number of genes: 14
Cluster: BGC0001154.3, Number of genes: 14
Cluster: BGC0001165.5, Number of genes: 14
Cluster: BGC0001197.5, Number of genes: 14
Cluster: BGC0001212.4, Number of genes: 14
Cluster: BGC0001230.5, Number of genes: 14
Cluster: BGC0001231.5, Number of genes: 14
Cluster: BGC0001295.5, Number of genes: 14
Cluster: BGC0001321.3, Number of genes: 14
Cluster: BGC0001324.3, Number of genes: 14
Cluster: BGC0001333.5, Number of genes: 14
Cluster: BGC0001372.3, Number of genes: 14
Cluster: BGC0001374.5, Number of genes: 14
Cluster: BGC0001403.3, Number of genes: 14
Cluster: BGC0001416.5, Number of genes: 14
Cluster: BGC0001422.4, Number of genes: 14
Cluster: BGC0001424.4, Number of genes: 14
Cluster: BGC0001428.4, Number of genes: 14
Cluster: BGC0001437.5, Number of genes: 14
Cluster: BGC0001488.3, Number of genes: 14
Cluster: BGC0001578.3, Number of genes: 14
Cluster: BGC0001674.5, Number of genes: 14
Cluster: BGC0001720.3, Number of genes: 14
Cluster: BGC0001760.5, Number of genes: 14
Cluster: BGC0001800.4, Number of genes: 14
Cluster: BGC0001827.3, Number of genes: 14
Cluster: BGC0001859.4, Number of genes: 14
Cluster: BGC0001920.4, Number of genes: 14
Cluster: BGC0001980.3, Number of genes: 14
Cluster: BGC0001997.3, Number of genes: 14
Cluster: BGC0002002.3, Number of genes: 14
Cluster: BGC0002015.4, Number of genes: 14
Cluster: BGC0002034.3, Number of genes: 14
Cluster: BGC0002047.2, Number of genes: 14
Cluster: BGC0002062.2, Number of genes: 14
Cluster: BGC0002120.3, Number of genes: 14
Cluster: BGC0002170.2, Number of genes: 14
Cluster: BGC0002250.2, Number of genes: 14
Cluster: BGC0002270.2, Number of genes: 14
Cluster: BGC0002285.2, Number of genes: 14
Cluster: BGC0002307.3, Number of genes: 14
Cluster: BGC0002326.2, Number of genes: 14
Cluster: BGC0002367.2, Number of genes: 14
Cluster: BGC0002395.2, Number of genes: 14
Cluster: BGC0002416.3, Number of genes: 14
Cluster: BGC0002496.3, Number of genes: 14
Cluster: BGC0002510.2, Number of genes: 14
Cluster: BGC0002563.3, Number of genes: 14
Cluster: BGC0002678.2, Number of genes: 14
Cluster: BGC0002877.1, Number of genes: 14
Cluster: BGC0002959.1, Number of genes: 14
Cluster: BGC0002991.1, Number of genes: 14
Cluster: BGC0003011.1, Number of genes: 14
Cluster: BGC0003067.1, Number of genes: 14
Cluster: BGC0003135.1, Number of genes: 14
Cluster: BGC0003161.1, Number of genes: 14
Cluster: BGC0000019.5, Number of genes: 13
