group_name,dataset_group,num_promoters,num_comparisons,similarity_score,correlation_score,similarity_category,correlation_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,correlation_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,correlation_std,mean_proximal_correlation,mean_distal_correlation,num_tfbs_types_found,status,error_msg
RANDOM_MGC_1657,Random,3,3,34.43,98.16,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,10.7,0.392,0.234,0.54,0.988,0.966,20.0,success,
RANDOM_MGC_1658,Random,3,3,53.78,97.51,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.12,0.528,0.561,1.15,0.972,0.981,19.0,success,
RANDOM_MGC_1655,Random,5,10,48.21,82.99,Moderate Similarity,Very High Correlation,1.0,1.0,1.0,1.0,7.51,0.455,0.545,13.2,0.771,0.968,24.0,success,
RANDOM_MGC_1661,Random,3,3,58.35,92.89,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.54,0.592,0.564,5.11,0.91,0.973,21.0,success,
RANDOM_MGC_1660,Random,4,6,40.67,94.39,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.48,0.426,0.361,2.15,0.944,0.944,22.0,success,
RANDOM_MGC_1659,Random,5,10,50.32,70.23,High Similarity,Very High Correlation,1.0,1.0,1.0,0.9,6.64,0.518,0.468,30.12,0.725,0.65,27.0,success,
RANDOM_MGC_1664,Random,2,1,37.22,93.74,Moderate Similarity,Very High Correlation,0.88,0.7,1.0,1.0,,0.389,0.333,,0.931,0.953,21.0,success,
RANDOM_MGC_1662,Random,4,6,48.66,96.74,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.2,0.458,0.554,0.99,0.973,0.953,23.0,success,
RANDOM_MGC_1665,Random,3,3,51.22,96.31,High Similarity,Very High Correlation,0.92,0.85,0.95,1.0,16.99,0.532,0.467,0.87,0.955,0.981,22.0,success,
RANDOM_MGC_1668,Random,3,3,62.89,94.84,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,3.65,0.61,0.674,1.39,0.949,0.948,18.0,success,
RANDOM_MGC_1667,Random,4,6,55.78,95.03,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,14.61,0.511,0.666,1.66,0.939,0.978,21.0,success,
RANDOM_MGC_1666,Random,4,6,46.47,68.76,Moderate Similarity,High Correlation,0.96,0.95,1.0,0.9,4.35,0.452,0.495,30.7,0.73,0.588,25.0,success,
RANDOM_MGC_1669,Random,3,3,53.2,95.88,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,10.99,0.574,0.435,0.53,0.946,0.988,23.0,success,
RANDOM_MGC_1673,Random,2,1,45.49,91.36,Moderate Similarity,Very High Correlation,0.88,0.7,1.0,1.0,,0.412,0.556,,0.914,0.914,23.0,success,
RANDOM_MGC_1640,Random,16,120,41.76,76.17,Moderate Similarity,Very High Correlation,0.863,1.0,0.95,0.9,18.87,0.412,0.431,34.36,0.767,0.749,29.0,success,
RANDOM_MGC_1670,Random,4,6,42.11,89.65,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.4,0.361,0.561,7.65,0.872,0.954,24.0,success,
RANDOM_MGC_1671,Random,4,6,45.0,84.78,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,7.95,0.454,0.44,12.16,0.802,0.954,25.0,success,
RANDOM_MGC_1672,Random,4,6,41.08,91.63,Moderate Similarity,Very High Correlation,0.96,0.95,0.95,1.0,18.06,0.38,0.482,4.13,0.912,0.926,23.0,success,
RANDOM_MGC_1675,Random,3,3,29.14,98.23,Low Similarity,Very High Correlation,0.92,0.85,0.9,1.0,20.38,0.265,0.352,0.61,0.982,0.983,19.0,success,
RANDOM_MGC_1674,Random,3,3,46.54,86.0,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,11.74,0.45,0.503,5.38,0.814,0.966,24.0,success,
RANDOM_MGC_1676,Random,4,6,55.67,95.2,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,9.61,0.574,0.516,2.02,0.961,0.931,22.0,success,
RANDOM_MGC_1677,Random,4,6,41.43,92.45,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,5.73,0.373,0.512,4.05,0.908,0.964,26.0,success,
RANDOM_MGC_1680,Random,3,3,60.13,91.35,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,14.19,0.619,0.56,1.61,0.89,0.968,24.0,success,
RANDOM_MGC_1678,Random,4,6,42.12,93.34,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.99,0.365,0.551,4.15,0.92,0.965,25.0,success,
RANDOM_MGC_1683,Random,3,3,47.43,96.65,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.44,0.444,0.546,1.03,0.96,0.982,20.0,success,
RANDOM_MGC_1681,Random,4,6,52.51,96.19,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,5.46,0.555,0.456,1.44,0.957,0.973,23.0,success,
RANDOM_MGC_1679,Random,6,15,48.08,77.08,Moderate Similarity,Very High Correlation,0.967,1.0,1.0,0.9,7.22,0.479,0.485,26.47,0.786,0.737,25.0,success,
RANDOM_MGC_1682,Random,4,6,49.25,93.85,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.19,0.477,0.528,1.5,0.94,0.936,24.0,success,
RANDOM_MGC_1684,Random,4,6,52.97,93.29,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,7.41,0.472,0.663,4.96,0.915,0.974,23.0,success,
RANDOM_MGC_1687,Random,3,3,52.35,91.91,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.58,0.493,0.596,3.64,0.903,0.955,25.0,success,
RANDOM_MGC_1686,Random,3,3,40.7,92.94,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.33,0.352,0.536,3.56,0.928,0.932,25.0,success,
RANDOM_MGC_1685,Random,4,6,43.94,94.85,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.43,0.466,0.378,2.13,0.942,0.963,24.0,success,
RANDOM_MGC_1663,Random,14,91,47.54,93.51,Moderate Similarity,Very High Correlation,0.871,1.0,1.0,1.0,8.84,0.456,0.521,3.87,0.92,0.971,30.0,success,
RANDOM_MGC_1689,Random,3,3,47.05,81.9,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,8.93,0.5,0.401,10.79,0.764,0.947,23.0,success,
RANDOM_MGC_1688,Random,4,6,58.82,95.29,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,5.07,0.576,0.617,1.32,0.943,0.976,24.0,success,
RANDOM_MGC_1691,Random,3,3,21.6,98.58,Low Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.65,0.191,0.275,0.94,0.986,0.985,22.0,success,
RANDOM_MGC_1692,Random,3,3,58.36,94.76,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,3.73,0.568,0.619,2.09,0.934,0.98,25.0,success,
RANDOM_MGC_1693,Random,3,3,42.16,95.33,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.4,0.335,0.623,2.7,0.948,0.965,21.0,success,
RANDOM_MGC_1694,Random,3,3,48.44,90.51,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,1.26,0.469,0.519,3.46,0.876,0.973,23.0,success,
RANDOM_MGC_1690,Random,5,10,54.12,73.78,High Similarity,Very High Correlation,1.0,1.0,1.0,0.9,6.89,0.566,0.484,28.29,0.734,0.748,27.0,success,
RANDOM_MGC_1697,Random,3,3,61.25,76.87,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.92,0.592,0.661,4.81,0.731,0.856,21.0,success,
RANDOM_MGC_1696,Random,4,6,37.82,91.99,Moderate Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.87,0.345,0.455,3.73,0.912,0.939,23.0,success,
RANDOM_MGC_1695,Random,6,15,47.44,85.61,Moderate Similarity,Very High Correlation,0.967,1.0,1.0,1.0,5.72,0.449,0.534,13.61,0.816,0.951,26.0,success,
RANDOM_MGC_1701,Random,2,1,52.14,89.99,High Similarity,Very High Correlation,0.88,0.7,1.0,1.0,,0.5,0.571,,0.893,0.915,24.0,success,
RANDOM_MGC_1700,Random,3,3,54.82,84.75,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.28,0.505,0.648,1.74,0.863,0.811,23.0,success,
RANDOM_MGC_1699,Random,5,10,54.92,39.61,High Similarity,Moderate Correlation,1.0,1.0,1.0,0.95,7.93,0.494,0.678,18.38,0.236,0.77,24.0,success,
RANDOM_MGC_1705,Random,2,1,66.79,17.79,High Similarity,Low Correlation,0.88,0.7,1.0,1.0,,0.727,0.529,,0.0,0.593,19.0,success,
RANDOM_MGC_1702,Random,4,6,55.37,80.83,High Similarity,Very High Correlation,0.96,0.95,0.95,1.0,16.87,0.565,0.527,4.3,0.857,0.694,27.0,success,
RANDOM_MGC_1704,Random,3,3,44.91,38.2,Moderate Similarity,Moderate Correlation,0.92,0.85,1.0,0.95,3.28,0.402,0.559,15.44,0.259,0.67,23.0,success,
RANDOM_MGC_1698,Random,7,21,54.97,60.08,High Similarity,High Correlation,0.943,1.0,1.0,0.95,7.67,0.544,0.563,15.15,0.564,0.687,26.0,success,
RANDOM_MGC_1706,Random,3,3,58.58,62.9,High Similarity,High Correlation,0.92,0.85,1.0,1.0,0.84,0.599,0.554,3.07,0.705,0.452,24.0,success,
RANDOM_MGC_1703,Random,5,10,54.56,81.85,High Similarity,Very High Correlation,1.0,1.0,1.0,1.0,7.14,0.513,0.621,5.65,0.815,0.826,24.0,success,
RANDOM_MGC_1708,Random,2,1,65.91,61.29,High Similarity,High Correlation,0.88,0.7,1.0,1.0,,0.579,0.846,,0.547,0.767,20.0,success,
RANDOM_MGC_1707,Random,3,3,53.11,72.95,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,3.54,0.511,0.578,11.88,0.696,0.809,22.0,success,
RANDOM_MGC_1709,Random,3,3,58.24,56.19,High Similarity,High Correlation,0.92,0.85,1.0,1.0,5.46,0.5,0.775,3.28,0.438,0.851,22.0,success,
RANDOM_MGC_1711,Random,3,3,50.34,53.43,High Similarity,High Correlation,0.92,0.85,1.0,0.9,7.32,0.481,0.557,22.49,0.417,0.808,24.0,success,
RANDOM_MGC_1712,Random,3,3,49.07,46.05,Moderate Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,8.64,0.451,0.583,20.34,0.313,0.805,22.0,success,
RANDOM_MGC_1714,Random,3,3,64.94,63.53,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.33,0.673,0.593,8.39,0.633,0.642,23.0,success,
RANDOM_MGC_1713,Random,4,6,49.88,62.95,Moderate Similarity,High Correlation,0.96,0.95,1.0,1.0,13.17,0.475,0.555,12.72,0.563,0.786,23.0,success,
RANDOM_MGC_1715,Random,4,6,56.62,68.03,High Similarity,High Correlation,0.96,0.95,1.0,1.0,7.17,0.583,0.527,14.0,0.636,0.784,27.0,success,
RANDOM_MGC_1717,Random,2,1,57.02,69.12,High Similarity,High Correlation,0.88,0.7,1.0,1.0,,0.562,0.588,,0.637,0.818,19.0,success,
RANDOM_MGC_1716,Random,3,3,51.48,67.27,High Similarity,High Correlation,0.92,0.85,1.0,1.0,5.61,0.499,0.552,10.93,0.69,0.633,25.0,success,
RANDOM_MGC_1710,Random,7,21,61.83,69.26,High Similarity,High Correlation,0.943,1.0,1.0,1.0,8.9,0.586,0.694,14.0,0.713,0.645,20.0,success,
RANDOM_MGC_1718,Random,4,6,53.69,70.77,High Similarity,Very High Correlation,0.96,0.95,0.95,1.0,15.98,0.514,0.59,9.48,0.66,0.82,23.0,success,
RANDOM_MGC_1721,Random,3,3,58.08,64.13,High Similarity,High Correlation,0.92,0.85,1.0,1.0,6.26,0.574,0.596,3.22,0.572,0.803,23.0,success,
RANDOM_MGC_1723,Random,3,3,62.47,75.07,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.69,0.607,0.665,11.7,0.719,0.824,23.0,success,
RANDOM_MGC_1722,Random,3,3,60.59,46.61,High Similarity,Moderate Correlation,0.92,0.85,1.0,0.9,4.84,0.613,0.59,28.88,0.318,0.811,19.0,success,
RANDOM_MGC_1720,Random,5,10,50.71,61.65,High Similarity,High Correlation,1.0,1.0,1.0,0.95,9.06,0.48,0.57,15.75,0.519,0.845,24.0,success,
RANDOM_MGC_1719,Random,6,15,54.33,68.29,High Similarity,High Correlation,0.967,1.0,1.0,1.0,10.04,0.547,0.534,14.26,0.677,0.696,25.0,success,
RANDOM_MGC_1726,Random,3,3,58.29,71.14,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,10.31,0.562,0.631,5.78,0.756,0.608,23.0,success,
RANDOM_MGC_1724,Random,7,21,50.52,63.53,High Similarity,High Correlation,0.943,1.0,1.0,1.0,10.28,0.473,0.58,14.26,0.625,0.66,27.0,success,
RANDOM_MGC_1727,Random,4,6,45.61,63.74,Moderate Similarity,High Correlation,0.96,0.95,1.0,1.0,7.52,0.443,0.487,11.66,0.609,0.704,22.0,success,
RANDOM_MGC_1725,Random,5,10,50.78,78.46,High Similarity,Very High Correlation,1.0,1.0,1.0,1.0,7.34,0.504,0.517,4.53,0.759,0.844,25.0,success,
RANDOM_MGC_1730,Random,3,3,49.03,64.97,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,9.54,0.472,0.533,1.18,0.636,0.681,24.0,success,
RANDOM_MGC_1729,Random,4,6,54.72,49.39,High Similarity,Moderate Correlation,0.96,0.95,1.0,1.0,10.99,0.517,0.619,13.19,0.435,0.631,24.0,success,
RANDOM_MGC_1728,Random,6,15,53.91,72.81,High Similarity,Very High Correlation,0.967,1.0,1.0,1.0,6.99,0.524,0.575,9.09,0.672,0.858,25.0,success,
RANDOM_MGC_1731,Random,3,3,55.4,85.69,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,7.26,0.544,0.577,0.38,0.861,0.848,22.0,success,
RANDOM_MGC_1732,Random,3,3,57.79,89.81,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,5.81,0.518,0.719,1.33,0.894,0.907,22.0,success,
RANDOM_MGC_1735,Random,3,3,54.96,76.55,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.07,0.517,0.626,6.8,0.776,0.742,23.0,success,
RANDOM_MGC_1736,Random,3,3,48.86,50.2,Moderate Similarity,High Correlation,0.92,0.85,1.0,0.95,6.64,0.472,0.528,17.67,0.358,0.837,21.0,success,
RANDOM_MGC_1737,Random,3,3,46.85,58.18,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,6.49,0.426,0.568,9.14,0.44,0.914,24.0,success,
RANDOM_MGC_1733,Random,5,10,58.06,56.46,High Similarity,High Correlation,1.0,1.0,1.0,0.95,8.97,0.589,0.562,16.37,0.516,0.679,22.0,success,
RANDOM_MGC_1734,Random,5,10,51.08,72.28,High Similarity,Very High Correlation,1.0,1.0,1.0,1.0,10.18,0.473,0.598,6.92,0.682,0.818,25.0,success,
RANDOM_MGC_1738,Random,4,6,53.26,57.26,High Similarity,High Correlation,0.96,0.95,1.0,0.9,10.85,0.501,0.607,20.42,0.636,0.425,24.0,success,
RANDOM_MGC_1740,Random,3,3,60.81,65.3,High Similarity,High Correlation,0.92,0.85,1.0,1.0,2.61,0.619,0.583,9.38,0.628,0.711,22.0,success,
RANDOM_MGC_1741,Random,3,3,58.23,70.0,High Similarity,High Correlation,0.92,0.85,1.0,1.0,4.7,0.548,0.663,7.02,0.633,0.856,19.0,success,
RANDOM_MGC_1739,Random,5,10,64.49,64.92,High Similarity,High Correlation,1.0,1.0,1.0,1.0,7.55,0.669,0.589,13.56,0.604,0.754,23.0,success,
RANDOM_MGC_1743,Random,4,6,61.47,74.77,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,3.56,0.605,0.637,13.31,0.73,0.79,22.0,success,
RANDOM_MGC_1744,Random,4,6,52.06,71.5,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,12.64,0.465,0.65,11.59,0.682,0.791,24.0,success,
RANDOM_MGC_1742,Random,5,10,47.8,69.52,Moderate Similarity,High Correlation,1.0,1.0,1.0,1.0,6.58,0.455,0.531,10.49,0.629,0.849,26.0,success,
RANDOM_MGC_1745,Random,3,3,47.44,51.76,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,12.13,0.46,0.509,5.79,0.381,0.837,25.0,success,
RANDOM_MGC_1747,Random,3,3,60.23,85.94,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.0,0.575,0.665,1.37,0.845,0.893,21.0,success,
RANDOM_MGC_1749,Random,3,3,49.67,74.49,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,8.65,0.479,0.537,8.62,0.758,0.713,24.0,success,
RANDOM_MGC_1746,Random,6,15,50.85,68.78,High Similarity,High Correlation,0.967,1.0,1.0,1.0,8.89,0.464,0.612,9.08,0.658,0.758,27.0,success,
RANDOM_MGC_1748,Random,4,6,61.42,45.49,High Similarity,Moderate Correlation,0.96,0.95,1.0,0.95,6.85,0.622,0.595,19.88,0.34,0.722,21.0,success,
RANDOM_MGC_1751,Random,4,6,54.26,77.13,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,11.71,0.506,0.627,5.65,0.737,0.851,22.0,success,
RANDOM_MGC_1754,Random,3,3,55.53,58.83,High Similarity,High Correlation,0.92,0.85,1.0,1.0,5.35,0.511,0.658,13.25,0.613,0.53,22.0,success,
RANDOM_MGC_1755,Random,3,3,62.89,70.96,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,5.0,0.636,0.611,7.39,0.651,0.846,25.0,success,
RANDOM_MGC_1752,Random,4,6,59.4,69.13,High Similarity,High Correlation,0.96,0.95,1.0,1.0,9.72,0.582,0.622,10.47,0.62,0.858,25.0,success,
RANDOM_MGC_1756,Random,3,3,56.28,68.32,High Similarity,High Correlation,0.92,0.85,1.0,1.0,7.68,0.511,0.683,10.51,0.609,0.856,21.0,success,
RANDOM_MGC_1750,Random,7,21,50.19,65.27,High Similarity,High Correlation,0.943,1.0,1.0,1.0,9.71,0.471,0.574,14.58,0.616,0.738,25.0,success,
RANDOM_MGC_1753,Random,5,10,53.34,53.14,High Similarity,High Correlation,1.0,1.0,1.0,0.95,8.21,0.503,0.605,15.95,0.451,0.719,23.0,success,
RANDOM_MGC_1757,Random,3,3,60.76,60.82,High Similarity,High Correlation,0.92,0.85,1.0,1.0,9.15,0.614,0.594,12.48,0.561,0.717,22.0,success,
RANDOM_MGC_1758,Random,3,3,52.62,56.04,High Similarity,High Correlation,0.92,0.85,1.0,1.0,10.73,0.521,0.539,10.54,0.531,0.628,20.0,success,
RANDOM_MGC_1762,Random,2,1,62.66,80.67,High Similarity,Very High Correlation,0.88,0.7,1.0,1.0,,0.647,0.579,,0.751,0.937,22.0,success,
RANDOM_MGC_1760,Random,4,6,57.4,56.44,High Similarity,High Correlation,0.96,0.95,1.0,0.9,7.18,0.577,0.567,22.89,0.518,0.672,22.0,success,
RANDOM_MGC_1761,Random,3,3,62.21,67.72,High Similarity,High Correlation,0.92,0.85,1.0,1.0,5.55,0.635,0.592,7.71,0.6,0.857,23.0,success,
RANDOM_MGC_1759,Random,4,6,52.19,35.72,High Similarity,Moderate Correlation,0.96,0.95,1.0,1.0,10.62,0.524,0.518,5.92,0.26,0.585,25.0,success,
RANDOM_MGC_1763,Random,3,3,57.85,56.34,High Similarity,High Correlation,0.92,0.85,1.0,0.9,3.21,0.578,0.579,20.13,0.463,0.799,22.0,success,
RANDOM_MGC_1764,Random,3,3,42.82,70.42,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.28,0.367,0.57,2.4,0.682,0.756,23.0,success,
RANDOM_MGC_1766,Random,3,3,57.1,70.28,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,13.95,0.545,0.632,8.19,0.751,0.589,23.0,success,
RANDOM_MGC_1765,Random,3,3,57.6,72.86,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,14.67,0.563,0.606,3.71,0.703,0.789,22.0,success,
RANDOM_MGC_1767,Random,3,3,57.57,63.94,High Similarity,High Correlation,0.92,0.85,1.0,1.0,7.56,0.579,0.569,4.02,0.628,0.665,23.0,success,
RANDOM_MGC_1768,Random,3,3,51.99,54.6,High Similarity,High Correlation,0.92,0.85,1.0,0.95,6.17,0.52,0.52,17.95,0.548,0.541,22.0,success,
RANDOM_MGC_1771,Random,3,3,56.44,73.1,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.53,0.526,0.654,9.82,0.7,0.804,24.0,success,
RANDOM_MGC_1773,Random,3,3,54.69,55.06,High Similarity,High Correlation,0.92,0.85,1.0,1.0,3.55,0.562,0.511,1.09,0.451,0.783,20.0,success,
RANDOM_MGC_1772,Random,4,6,64.06,60.84,High Similarity,High Correlation,0.96,0.95,1.0,1.0,10.04,0.623,0.681,9.15,0.547,0.752,23.0,success,
RANDOM_MGC_1774,Random,4,6,57.46,80.44,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,7.91,0.542,0.65,4.18,0.819,0.77,23.0,success,
RANDOM_MGC_1769,Random,5,10,53.54,68.82,High Similarity,High Correlation,1.0,1.0,1.0,1.0,7.59,0.509,0.597,11.03,0.615,0.858,25.0,success,
RANDOM_MGC_1775,Random,3,3,54.39,58.28,High Similarity,High Correlation,0.92,0.85,0.95,0.95,15.54,0.52,0.6,19.36,0.502,0.772,22.0,success,
RANDOM_MGC_1770,Random,6,15,56.28,65.48,High Similarity,High Correlation,0.967,1.0,1.0,1.0,10.43,0.6,0.477,11.92,0.689,0.576,24.0,success,
RANDOM_MGC_1778,Random,3,3,55.41,69.99,High Similarity,High Correlation,0.92,0.85,1.0,1.0,10.02,0.583,0.486,5.09,0.663,0.785,23.0,success,
RANDOM_MGC_1779,Random,3,3,51.78,71.41,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,9.12,0.503,0.553,11.9,0.673,0.811,23.0,success,
RANDOM_MGC_1776,Random,5,10,57.55,71.37,High Similarity,Very High Correlation,1.0,1.0,1.0,1.0,8.66,0.549,0.637,9.28,0.683,0.784,24.0,success,
RANDOM_MGC_1781,Random,2,1,66.67,58.27,High Similarity,High Correlation,0.88,0.7,1.0,1.0,,0.667,0.667,,0.606,0.528,19.0,success,
RANDOM_MGC_1777,Random,5,10,61.89,67.64,High Similarity,High Correlation,1.0,1.0,1.0,1.0,6.64,0.613,0.633,13.36,0.621,0.805,24.0,success,
RANDOM_MGC_1780,Random,4,6,54.79,68.79,High Similarity,High Correlation,0.96,0.95,1.0,1.0,4.44,0.538,0.572,9.56,0.632,0.818,24.0,success,
RANDOM_MGC_1784,Random,3,3,49.28,52.77,Moderate Similarity,High Correlation,0.92,0.85,1.0,0.9,2.18,0.47,0.545,25.02,0.423,0.773,23.0,success,
RANDOM_MGC_1782,Random,4,6,51.05,70.53,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,6.44,0.507,0.518,10.94,0.645,0.847,25.0,success,
RANDOM_MGC_1783,Random,4,6,57.23,46.89,High Similarity,Moderate Correlation,0.96,0.95,1.0,0.95,5.84,0.547,0.631,16.14,0.347,0.752,24.0,success,
RANDOM_MGC_1787,Random,4,6,56.77,51.06,High Similarity,High Correlation,0.96,0.95,1.0,0.95,7.67,0.602,0.487,15.51,0.461,0.627,21.0,success,
RANDOM_MGC_1788,Random,3,3,49.51,66.18,Moderate Similarity,High Correlation,0.92,0.85,1.0,0.95,5.79,0.417,0.677,16.66,0.575,0.865,24.0,success,
RANDOM_MGC_1785,Random,6,15,50.95,71.2,High Similarity,Very High Correlation,0.967,1.0,1.0,1.0,9.5,0.435,0.683,11.15,0.702,0.735,22.0,success,
RANDOM_MGC_1786,Random,5,10,55.25,68.5,High Similarity,High Correlation,1.0,1.0,1.0,1.0,6.71,0.532,0.601,12.06,0.602,0.878,23.0,success,
RANDOM_MGC_1790,Random,3,3,55.09,74.74,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,8.43,0.527,0.607,8.34,0.708,0.839,23.0,success,
RANDOM_MGC_1789,Random,4,6,45.19,63.14,Moderate Similarity,High Correlation,0.96,0.95,1.0,0.95,10.26,0.433,0.496,16.9,0.546,0.83,23.0,success,
RANDOM_MGC_1792,Random,3,3,57.85,73.46,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,7.28,0.571,0.596,6.72,0.681,0.86,25.0,success,
RANDOM_MGC_1793,Random,3,3,58.03,62.83,High Similarity,High Correlation,0.92,0.85,1.0,0.95,1.6,0.551,0.649,16.0,0.535,0.845,25.0,success,
RANDOM_MGC_1794,Random,3,3,53.33,73.49,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,6.91,0.505,0.599,4.41,0.678,0.867,24.0,success,
RANDOM_MGC_1795,Random,4,6,52.28,65.43,High Similarity,High Correlation,0.96,0.95,1.0,1.0,2.94,0.503,0.57,9.56,0.565,0.862,24.0,success,
RANDOM_MGC_1798,Random,3,3,40.32,56.81,Moderate Similarity,High Correlation,0.92,0.85,1.0,1.0,0.53,0.383,0.45,11.21,0.509,0.706,24.0,success,
RANDOM_MGC_1797,Random,4,6,53.26,79.65,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,8.17,0.513,0.578,5.34,0.769,0.859,24.0,success,
RANDOM_MGC_1796,Random,5,10,58.78,60.88,High Similarity,High Correlation,1.0,1.0,1.0,1.0,8.39,0.56,0.652,8.96,0.504,0.854,25.0,success,
RANDOM_MGC_1799,Random,3,3,60.98,75.62,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,10.37,0.56,0.725,11.58,0.729,0.82,21.0,success,
RANDOM_MGC_1800,Random,5,10,55.05,61.52,High Similarity,High Correlation,1.0,1.0,1.0,0.95,11.32,0.55,0.551,19.54,0.52,0.837,26.0,success,
RANDOM_MGC_1061,Random,3,3,55.88,33.94,High Similarity,Moderate Correlation,0.92,0.85,1.0,1.0,7.09,0.566,0.542,12.89,0.201,0.663,22.0,success,
RANDOM_MGC_1062,Random,3,3,56.41,23.98,High Similarity,Low Correlation,0.92,0.85,1.0,0.95,4.23,0.6,0.48,16.13,0.149,0.451,21.0,success,
RANDOM_MGC_1801,Random,4,6,55.37,52.85,High Similarity,High Correlation,0.96,0.95,0.95,0.95,18.37,0.52,0.633,18.17,0.401,0.825,23.0,success,
RANDOM_MGC_1802,Random,4,6,50.33,71.3,High Similarity,Very High Correlation,0.96,0.95,1.0,1.0,9.51,0.457,0.611,14.29,0.656,0.845,26.0,success,
RANDOM_MGC_1063,Random,3,3,50.15,55.26,High Similarity,High Correlation,0.92,0.85,1.0,0.95,5.54,0.451,0.62,15.48,0.406,0.894,24.0,success,
RANDOM_MGC_1064,Random,3,3,64.85,71.52,High Similarity,Very High Correlation,0.92,0.85,1.0,1.0,2.34,0.678,0.579,9.17,0.67,0.822,23.0,success,
RANDOM_MGC_1065,Random,3,3,45.96,79.46,Moderate Similarity,Very High Correlation,0.92,0.85,1.0,1.0,1.87,0.372,0.665,4.31,0.809,0.762,25.0,success,
RANDOM_MGC_1067,Random,3,3,50.25,50.76,High Similarity,High Correlation,0.92,0.85,1.0,0.9,10.32,0.519,0.465,21.86,0.437,0.672,22.0,success,
RANDOM_MGC_1066,Random,4,6,55.8,47.48,High Similarity,Moderate Correlation,0.96,0.95,1.0,1.0,10.21,0.573,0.523,10.27,0.458,0.514,25.0,success,
RANDOM_MGC_1070,Random,3,3,52.82,61.31,High Similarity,High Correlation,0.92,0.85,1.0,0.95,12.68,0.593,0.377,18.11,0.598,0.648,22.0,success,
